ThÃ¨me;CatÃ©gorie;Mot francais;Synonyme francais;Description;Traduction;TradEG;TradD;TradA;TradH;TradAv;TradP;TradX
Nature;Plantes Potageres;Persil;;;Jus Vert Ou BonisErbo Ou Juver Juvér Ou Bouennos Herbos Jhouvér Ou Jhouvert BoueneisHerbos Bouenos H;;;Juvér Juvert;;Jhouvert BoueneisHerbos;Herbos;Herbes Juvert
Nature;Plantes Potageres;Petites Féves;Féves Naines;;Favarot Faverottos Ou Favetos;;;;;Favetos;;
Nature;Plantes Potageres;Petits Pois;;;Peze Ou Pese Peses Verds;;;Verds;;Eg;;
Nature;Plantes Potageres;Piments;;;Pimentoun également Pebroun Pementoun;;;Pebroun Pementoun;;;;
Nature;Plantes Potageres;Poireaux;;;Pouarre Aussi Pouerri Ou Pouarri Pouerri Pouerre Porre Pérri;;;Pouarri;;Pouerre;Pouerri;Pérri
Nature;Plantes Potageres;Poirée Blanche;;;Herbeto Arbetto Harbeto Herbetto Erboulat;;;Arbetto;;Herbetto;Harbeto;Erboulat
Nature;Plantes Potageres;Poirée Sauvage;;;Harbetos Feros Pouerri Fer;;;;;;Feros Fer;
Nature;Plantes Potageres;Pois Carrés;Haricot Ailé;;BelleisDents Ressemble é Une Dent;;;;;BelleisDents;;
Nature;Plantes Potageres;Pois Cassés;;;Pese Coupa;;;;;;;
Nature;Plantes Potageres;Pois Chiches;;;Seze Aussi Sese Ou Sege Cese Ceze Cese Pounchut Becuts;;;Cese Pounchut Becuts;;Seze Cese;Ceze;
Nature;Plantes Potageres;Pois Des Champs;;;Menuviho;;;;;;;Menuviho
Nature;Plantes Potageres;Pois Goulus;Gourmands;;Peses Groumands;;;;;Groumands;;
Nature;Plantes Potageres;Pois Nains;;;Merevilhoun Que LOn Donne é Manger Aux Pigeons;;;Pigeons;;;;
Nature;Plantes Potageres;Poivron;;;Pebroun;;;;;;;
Nature;Plantes Potageres;Pommes De Terre;;;Patano Ou Tartiflo Patato Ou Tartifle Truffo Poumo De Terro Tartifle Ou Tartiflo;;;Tartifle;;Truffo;;Terro Tartiflo
Nature;Plantes Potageres;Potiron;;;Pissocan Coucourdo Verdo Moussard Redoundo;;;Pissocan;;;;Verdo Moussard Redoundo
Nature;Plantes Potageres;Radis;;;Rifouar Arifouert Rifouert Rabe;;;Rifouert;;;;Rabe
Nature;Plantes Potageres;Rave;;;Rabo Raben RaboCau ChouRave;;;;;;;ChouRave
Nature;Plantes Potageres;Romarin;;;Roumanieou Roumaniou Roumanin Roumaniéu;;;Roumanieou;;Roumanin;Roumaniou;Roumaniéu
Nature;Plantes Potageres;Rubarbe;;;Rubarbo Rebarbo;;;Rubarbo;;;;Rebarbo
Nature;Plantes Potageres;Salade Frisée;Scarole;;Salado Frisado Et Scarolo Escarolo;;;;;;;Escarolo
Nature;Plantes Potageres;Sarriette;;;Pebre DAi Ou Pebre DAy Pebre DAse Sadrélo;;;DAy;;DAi;;DAse Sadrélo
Nature;Plantes Potageres;Sauge;;;Saouvi Ou Sauvi Savi Séuvi Erbo De Véne Mequerre;;;Sauvi;;Saouvi Savi;;Séuvi Verveine
Nature;Plantes Potageres;Scarole;;;Barraqueto;;;;;;;Barraqueto
Nature;Plantes Potageres;Sel Et Poivre;;;Saou E Lou Pebre;;;Pebre;;;;
Nature;Plantes Potageres;Serpolet;;;Serpouyer Aussi Serpoulo Ou Sarpoulo Sarpoule Serpoule Faligoulo Sarpoulet Badassoun Menudet Serpoul;;;Sarpoulo Sarpoulet;;Faligoulo;Sarpoule Serpoule;Badassoun Veiramo
Nature;Plantes Potageres;Thym;;;Feriglo Farigoulo Ou Farigouletto Ferigouleto Faligoulo Ferigoulo;;;Faligoulo;;;;Ferigoulo
Nature;Plantes Potageres;Tomates;;;Poumo DAmour Toumato Touméti;;;;;DAmour Toumato;;Touméti
Nature;Plantes Potageres;Topinambour;;;Tartiflo Gigando Tartifle Giganto Ginjourlié De Terro Patanoun Patato Toupinambour;;;;;Gigando Tartifle;;Giganto Terro Patanoun Toupinambour
Nature;Plantes Potageres;Vesce De Narbonne;;;Favo Féro;;;;;;;Féro
Nature;Plantes Potageres;Plantes Potageres;;;Hortouilhado;;;Hortouilhado;;;;
Nature;Légumes Secs;Légumes Secs;;;Hourtoulayo Hourtoulaiho Ou Herbagi Av;;;;;;Hourtoulayo;
Nature;Légumes Secs;Legume Vert Frais;;;Ourtoulaio;;;Ourtoulaio;;;;
Nature;Légumes Secs;Garabage;;;Liéume Lioume;;;;;Liéume Lioume;;
Nature;Salades Sauvages;Salades Sauvages;;;Ensalado Féro;;;;;;;
Nature;Salades Sauvages;Salade;;;Saladito;;;;;;;
Nature;Salades Sauvages;Salade;;;Repounche;;;;;;;
Nature;Salades Sauvages;Salade;;;Pissaliech;;;;;;;
Nature;Salades Sauvages;Salade;;;Pinprenelle;;;;;;;
Nature;Salades Sauvages;Salade;;;Petarel;;;;;;;
Nature;Salades Sauvages;Salade;;;Pata De Galina;;;;;;;
Nature;Salades Sauvages;Salade;;;Parpela DAgaéo;;;;;;;
Nature;Salades Sauvages;Salade;;;Moure De Pouar;;;;;;;
Nature;Salades Sauvages;Salade;;;Moougié;;;;;;;
Nature;Salades Sauvages;Ail Des Vignes;;;Aiasso Porre Couguiéu Ou Fér;;;;;;;Aiasso Fér
Nature;Salades Sauvages;Pourpier;;;Bourtouraigo Bourtoulaigo Potion Vermifuge Bourthoulaigro Ou Bourtoulaigro;;;Bourtoulaigo;;Bourtoulaigro;;
Nature;Salades Sauvages;Ail De Montagne;;;AilhetFer AietFer Aiastre Ail Sauvage Aietoun Bastard Ail Des Ours;;;;;;;Sauvage Ours
